id,anho,limite_inferior,limite_superior,cuota_fija,tasa_excedente,active
isr_2026_01,2026,0.01,746.04,0.00,0.019200,1
isr_2026_02,2026,746.05,6332.05,14.32,0.064000,1
isr_2026_03,2026,6332.06,11128.01,371.83,0.108800,1
isr_2026_04,2026,11128.02,12935.82,893.63,0.160000,1
isr_2026_05,2026,12935.83,15487.71,1182.88,0.179200,1
isr_2026_06,2026,15487.72,31236.49,1639.32,0.213600,1
isr_2026_07,2026,31236.50,49233.00,4005.46,0.235200,1
isr_2026_08,2026,49233.01,93993.90,8237.45,0.300000,1
isr_2026_09,2026,93993.91,125325.20,21665.72,0.320000,1
isr_2026_10,2026,125325.21,375975.61,31691.85,0.340000,1
isr_2026_11,2026,375975.62,0,116912.87,0.350000,1
